"new_nc_name","Damaged or unsanitary Vehicle","Other","Vehicle improperly parked (lay","Parked on Private Property","Unpermitted Company and/or veh","Sidewalk Riding","Vehicle listed as available, b","Low Battery"
"VAN NUYS NC",0,1,6,3,0,0,0,0
"VENICE NC",84,65,3986,192,4,0,3,1
"VOICES NC",0,3,9,0,0,0,0,0
"WATTS NC",0,1,0,0,0,0,1,0
"WEST ADAMS NC",0,0,2,0,0,0,0,0
"WEST LOS ANGELES SAWTELLE NC",1,0,49,5,1,0,0,1
"WESTCHESTER/PLAYA NC",1,0,10,1,0,0,0,0
"WESTLAKE NORTH NC",0,0,47,8,0,0,0,0
"WESTLAKE SOUTH NC",3,4,116,4,0,0,0,0
"WESTSIDE NC",0,0,5,0,1,0,0,0
"WESTWOOD NC",0,2,49,2,0,0,0,0
"WILMINGTON NC",1,2,1,0,0,0,0,0
"WILSHIRE CENTER - KOREATOWN NC",6,13,353,35,0,0,1,0
"WINNETKA NC",1,1,1,0,0,0,0,0
"WOODLAND HILLS-WARNER CENTER NC",2,0,4,0,0,0,0,0
"ZAPATA-KING NC",1,2,9,0,0,0,1,0
