"new_nc_name","Damaged or unsanitary Vehicle","Other","Vehicle improperly parked (lay","Parked on Private Property","Unpermitted Company and/or veh","Low Battery","Sidewalk Riding","Vehicle listed as available, b"
"RESEDA NC",2,1,0,0,0,0,0,0
"SHERMAN OAKS NC",1,6,38,12,0,1,0,0
"SILVER LAKE NC",3,2,234,17,1,0,1,1
"SOUTH CENTRAL NC",2,2,34,3,0,0,0,0
"SOUTH ROBERTSON NC",1,3,19,1,0,0,0,0
"STUDIO CITY NC",1,13,27,1,0,0,2,0
"SUN VALLEY AREA NC",1,0,2,0,0,0,1,0
"SYLMAR NC",1,2,3,1,0,0,1,0
"TARZANA NC",1,0,3,0,0,0,0,0
"UNITED NEIGHBORHOODS NC",3,2,14,1,0,0,1,0
"VAN NUYS NC",0,0,12,1,1,0,0,0
"VENICE NC",52,131,5975,200,16,1,3,653
"VOICES NC",2,1,50,1,1,0,0,0
"WATTS NC",1,2,3,0,0,0,0,0
"WEST ADAMS NC",2,1,3,0,0,0,0,0
"WEST HILLS NC",0,2,3,0,0,0,0,0
"WEST LOS ANGELES SAWTELLE NC",3,1,56,6,0,0,0,11
"WESTCHESTER/PLAYA NC",2,2,77,5,0,0,1,26
"WESTLAKE NORTH NC",1,0,59,3,0,0,0,0
"WESTLAKE SOUTH NC",1,0,37,3,0,0,0,1
"WESTSIDE NC",0,1,47,6,0,0,0,6
"WESTWOOD NC",0,1,96,5,0,0,0,44
"WILMINGTON NC",1,3,3,1,1,0,0,0
"WILSHIRE CENTER - KOREATOWN NC",12,6,300,50,0,0,0,4
"WINNETKA NC",0,4,0,1,0,0,0,1
"WOODLAND HILLS-WARNER CENTER NC",1,0,9,1,0,0,0,0
"ZAPATA-KING NC",1,2,1,1,0,0,1,0
NA,2,0,1,0,0,0,0,0
